Engine Si2e(L),Cylin3ers,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),,CO2 Emissions(g/km),,CO2 Rating,Smog Rating
1.6,4,1,8.8,7.4,8.2,34,,193,,6,5
2,4,1,8.5,7.2,7.9,36,,187,,6,7
3.8,6,1,12.3,9.6,11.1,25,,265,,4,5
2.5,4,1,12.1,8.6,10.6,27,,250,,5,5
2.5,4,1,11,8.5,9.9,29,,3,,5,5
2.5,4,1,10.6,9.3,10,28,,235,,5,7
1.6,4,1,7.1,7.9,7.4,38,,176,,7,7
1.6,4,1,8.8,6.4,7.7,37,,183,,6,5
2.5,4,1,10.1,7.2,8.8,32,,208,,6,5
2.5,4,1,8.8,6.4,7.7,37,,182,,6,7
2,4,1,5.3,4.6,5,56,,117,,9,7
2.5,4,1,9.1,7.1,8.2,34,,194,,6,5
2.5,4,1,9.9,8,9,31,,214,,5,5
1.6,4,1,6.3,6.6,6.4,44,,152,,7,7
2,4,2,12,8.6,10.5,27,,248,,5,3
2,4,2,10.6,8.3,9.5,30,,226,,5,3
1.6,4,1,7.9,6.9,7.5,38,,176,,7,5
1.6,4,1,8.6,6.8,7.8,36,,184,,6,5
3,6,2,12.5,8.7,10.8,26,,254,,5,3
3,6,2,12.5,9.3,11.1,25,,261,,4,3
3,6,2,12.3,8.7,10.7,26,,252,,5,3
3,6,2,12.5,9.2,11,26,,259,,4,3
2,4,2,10.8,8.3,9.7,29,,228,,5,6
2,4,2,10.5,8.3,9.5,30,,223,,5,6
3.5,6,2,11.9,9.5,10.8,26,,253,,5,5
5.6,8,2,17.5,12.2,15.1,19,,355,,3,3
2,4,2,11.5,9.2,10.4,27,,247,,5,7
2,4,2,11.2,9.2,10.3,27,,245,,5,7
5,8,2,14.1,9.7,12.1,23,,286,,4,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
5,8,2,14.1,9.7,12.1,23,,286,,4,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
2,4,1,10.4,7.6,9.1,31,,214,,5,5
2.4,4,1,10.8,7.5,9.3,30,,219,,5,6
3.2,6,1,11.9,8.2,10.2,28,,240,,5,5
2,4,1,11.2,8,9.8,29,,229,,5,5
2.4,4,1,11.2,8,9.8,29,,230,,5,6
3.2,6,1,12.2,8.6,10.6,27,,249,,5,5
3.2,6,1,12.9,9.7,11.5,25,,268,,4,5
2.4,4,1,10.6,7.6,9.3,30,,218,,5,6
2.4,4,1,10.8,7.8,9.5,30,,222,,5,6
3,6,3,10.8,8.5,9.8,29,,263,,4,1
3,6,3,11,8.7,10,28,,271,,4,1
3.6,6,1,13.7,10.7,12.3,23,,290,,4,7
3.6,6,1,14.3,10.4,12.6,22,,296,,4,5
3.6,6,1,12.3,9.2,10.9,26,,256,,5,7
5.7,8,1,16.7,10.9,14.1,20,,331,,3,5
3.6,6,1,13,9.4,11.3,25,,266,,4,7
5.7,8,1,16.7,10.9,14.1,20,,331,,3,5
3.6,6,1,12.7,9.6,11.3,25,,265,,4,7
6.4,8,2,18.6,12.8,16,18,,374,,2,1
1.3,4,1,9.8,7.4,8.7,32,,204,,6,6
1.3,4,1,10.1,8.1,9.2,31,,222,,5,6
1.3,4,1,10.8,8.7,9.9,29,,231,,5,6
5.7,8,1,15.6,11.7,13.8,20,,323,,3,5
2,4,1,10.7,9.8,10.3,27,,241,,5,5
3.6,6,1,12.8,10.4,11.8,24,,274,,4,7
3.6,6,1,12,9.8,11,26,,258,,4,5
3.6,6,1,13.7,9.6,11.8,24,,277,,4,5
2,4,1,11.5,9.9,10.8,26,,251,,5,5
3,6,3,10.6,8.1,9.5,30,,255,,5,1
3,6,3,11.2,9,10.2,28,,275,,4,1
3.6,6,1,12.9,10.2,11.7,24,,275,,4,7
3.6,6,1,12.3,9.9,11.2,25,,262,,4,5
3.6,6,1,13.8,10.1,12.2,23,,285,,4,5
6.4,8,2,18.5,14.1,16.5,17,,387,,2,1
3.5,6,1,12,8.9,10.6,27,,252,,5,5
1.6,4,1,8.7,6.6,7.8,36,,184,,6,5
2,4,1,7.9,5.9,7,40,,165,,7,5
2,4,1,8.8,6.1,7.6,37,,178,,7,5
1.6,4,1,8.9,6.9,8,35,,190,,6,5
2,4,1,8,6,7.1,40,,169,,7,5
2.5,4,1,9.9,7.3,8.7,32,,207,,6,5
1.6,4,1,9.2,7,8.2,34,,195,,6,5
1.6,4,1,4.4,4.9,4.6,61,,110,,9,7
1.6,4,1,4.4,4.9,4.6,61,,110,,9,7
1.6,4,1,5,5.6,5.3,53,,124,,9,7
1.6,4,1,7.2,6,6.7,42,,159,,7,3
1.6,4,1,7.7,6.1,7,40,,166,,7,3
2,4,1,8.2,7.1,7.7,37,,182,,6,5
1.6,4,1,9.4,7.9,8.7,32,,205,,6,5
2,4,1,8.8,7.6,8.2,34,,195,,6,5
2.5,4,1,10.9,8.7,9.9,29,,234,,5,5
2.5,4,1,10.1,9.2,9.7,29,,227,,5,5
1.6,4,1,6.4,7,6.6,43,,157,,7,7
2,4,1,8.5,7,7.9,36,,187,,6,7
2.4,4,1,10.1,7.6,9,31,,214,,5,5
2,4,1,12.1,9.6,11,26,,261,,4,5
2.4,4,1,10.8,9.1,10,28,,238,,5,5
3.3,6,2,13.7,9.6,11.9,24,,280,,4,3
3.8,6,1,12.7,9.7,11.3,25,,266,,4,5
6.5,12,2,26.5,14.6,21.2,13,,489,,1,1
6.5,12,2,26.8,15.1,21.5,13,,498,,1,1
6.5,12,2,26.8,15.1,21.5,13,,498,,1,1
5.2,10,2,18,12.9,15.7,18,,371,,2,1
5.2,10,2,18,12.9,15.7,18,,370,,2,1
5.2,10,2,18,12.9,15.7,18,,371,,2,1
5.2,10,2,18,12.9,15.7,18,,370,,2,1
4,8,2,19.2,14.1,16.9,17,,384,,2,3
2,4,2,13.2,11.3,12.3,23,,289,,4,7
3,6,2,13.5,10.8,12.3,23,,287,,4,7
5,8,2,15.8,12.4,14.3,20,,339,,3,3
2,4,2,14.2,11.7,13,22,,306,,3,7
3,6,2,13.5,10.8,12.3,23,,287,,4,7
5,8,2,16.4,12.7,14.7,19,,350,,3,3
2,4,2,12.2,10.6,11.5,25,,271,,4,7
3,6,2,12.8,9.8,11.4,25,,270,,4,7
3,6,2,13.3,10.2,11.9,24,,279,,4,7
3,6,2,13.3,10.2,11.9,24,,279,,4,7
5,8,2,14.4,11.3,13,22,,305,,3,3
5,8,2,14.4,11.3,13,22,,305,,3,3
5,8,2,17.1,12.6,15.1,19,,354,,3,3
5,8,2,17.9,12.7,15.5,18,,365,,2,3
3,6,2,12.7,9.9,11.4,25,,269,,4,7
3,6,2,12.7,9.9,11.4,25,,269,,4,7
5,8,2,14.1,10.7,12.6,22,,294,,4,3
5,8,2,16.2,12,14.3,20,,336,,3,3
2.5,4,1,9.5,7,8.4,34,,195,,6,6
2.5,4,1,5.5,5.2,5.3,53,,124,,9,7
3.5,6,1,10.7,7.3,9.2,31,,214,,5,5
3.5,6,1,10.9,7.5,9.4,30,,219,,5,5
4.6,8,2,16.2,12.3,14.5,19,,337,,3,3
2,4,2,11,7.6,9.5,30,,221,,5,5
3.5,6,2,12.2,9,10.8,26,,253,,5,5
3.5,6,2,12.2,9,10.8,26,,253,,5,5
5,8,2,14.1,9.3,11.9,24,,280,,4,5
5,8,2,15.1,9.6,12.6,22,,294,,4,5
5,8,2,16,9.5,13,22,,304,,3,5
3.5,6,2,9,7.1,8.1,35,,189,,6,7
3.4,6,2,13.8,8.7,11.2,25,,270,,4,5
3.5,6,2,10.1,8.1,9.2,31,,216,,5,7
3.4,6,2,14.2,10.8,12.7,22,,298,,4,5
2.5,4,1,9.4,7.4,8.4,34,,198,,6,6
2.4,4,2,10.5,8.3,9.5,30,,221,,5,7
2.4,4,2,10.5,8.4,9.5,30,,222,,5,7
2.5,4,2,5.7,6.4,6,47,,140,,8,7
3.5,6,2,12.2,9,10.8,26,,253,,5,5
3.5,6,2,12.2,9,10.8,26,,253,,5,5
5,8,2,14.4,9.6,12.2,23,,285,,4,5
3.5,6,1,12.2,9,10.8,26,,252,,5,5
3.5,6,1,13.1,9.4,11.1,25,,268,,4,5
3.5,6,2,7.5,8.4,7.9,36,,185,,6,7
3.5,6,2,8.1,8.4,8.1,35,,190,,6,7
2,4,1,8,6.3,7.2,39,,168,,7,6
2,4,1,5.7,6.2,6,47,,140,,8,7
3,6,1,13.7,9.7,11.9,24,,280,,4,5
2,4,1,11.1,8.1,9.8,29,,229,,5,5
2.3,4,1,11.2,8.3,9.9,29,,232,,5,5
2,4,1,11.8,9.4,10.7,26,,252,,5,6
2,4,1,11.8,9.4,10.7,26,,251,,5,6
2.7,6,1,12.6,9.3,11.2,25,,262,,4,5
3.5,6,1,15.2,10.8,13.2,21,,311,,3,6
3,6,2,13.4,9.4,11.6,24,,271,,4,3
3,6,2,13.4,9.4,11.6,24,,271,,4,3
3,6,2,14.8,9.8,12.6,22,,293,,4,3
3.8,8,2,17.4,11.9,14.9,19,,348,,3,1
3,6,2,15.1,10.9,13.2,21,,308,,3,3
3,6,2,15.1,10.9,13.2,21,,308,,3,3
3.8,8,2,17.4,12,15,19,,349,,3,1
3.8,8,2,17.4,12,15,19,,349,,3,1
3,6,2,15.4,9.5,12.8,22,,295,,4,5
3,6,2,14.4,9.3,12.1,23,,281,,4,3
3,6,2,14.4,9.3,12.1,23,,281,,4,3
3,6,2,14.8,9.8,12.6,22,,293,,4,3
3.8,8,2,17.4,11.9,14.9,19,,348,,3,1
2,4,1,8.3,6.9,7.7,37,,179,,7,3
2,4,1,8.8,7,8,35,,186,,6,3
2,4,1,8.6,7.4,8.1,35,,189,,6,3
2,4,1,9.4,7.7,8.6,33,,202,,6,7
2.5,4,1,9.9,7.7,8.9,32,,208,,6,7
2.5,4,1,10.5,7.9,9.3,30,,220,,5,5
2.5,4,1,10.2,8.2,9.3,30,,216,,5,6
2.5,4,1,9.9,7.9,9,31,,209,,5,6
2.5,4,1,10.8,8.7,9.8,29,,230,,5,5
2.5,4,1,11.6,9,10.4,27,,243,,5,5
2,4,1,8.4,6.6,7.6,37,,178,,7,7
2,4,1,8.7,6.4,7.7,37,,180,,7,7
2.5,4,1,8.9,6.5,7.8,36,,183,,6,7
2.5,4,1,9.5,7.2,8.5,33,,199,,6,7
2.5,4,1,10.1,7.3,8.8,32,,207,,6,5
2,4,1,8.6,6.7,7.7,37,,181,,7,7
2,4,1,8.7,6.6,7.8,36,,181,,6,7
2.5,4,1,9.1,6.8,8.1,35,,190,,6,7
2.5,4,1,9.6,7.1,8.4,34,,198,,6,7
2.5,4,1,9.5,7.4,8.6,33,,200,,6,7
2.5,4,1,10.1,7.5,8.9,32,,209,,5,5
2,4,2,9,6.6,7.9,36,,186,,6,3
2,4,2,9,7,8.1,35,,189,,6,3
2,4,2,9.5,6.8,8.3,34,,194,,6,5
2,4,2,10,7,8.7,32,,202,,6,5
2,4,2,10.8,7.9,9.5,30,,221,,5,5
2,4,2,10.8,7.8,9.4,30,,221,,5,5
3,6,2,12.7,8.7,10.9,26,,256,,5,5
3,6,2,12.6,8.5,10.8,26,,252,,5,5
2,4,2,11,8.2,9.7,29,,227,,5,5
2,4,2,12,8.5,10.4,27,,243,,5,3
3,6,2,11.6,8.8,10.3,27,,241,,5,6
3,6,2,11.3,8.3,9.9,29,,232,,5,6
3,6,2,12,8.9,10.6,27,,247,,5,6
3,6,2,11.7,8.4,10.2,28,,239,,5,6
2,4,2,11,8.4,9.8,29,,230,,5,5
2,4,2,12.3,9.6,11.1,25,,260,,4,3
2,4,2,12.7,9.4,11.2,25,,262,,4,5
3,6,2,12.9,9.3,11.3,25,,264,,4,5
3,6,2,14,10.1,12.3,23,,287,,4,5
3,6,2,13.4,10.6,12.1,23,,283,,4,6
3,6,2,13.6,11.1,12.5,23,,292,,4,6
3,6,2,12.3,9.4,11,26,,258,,4,6
2,4,2,11,8,9.6,29,,224,,5,6
2,4,2,10.7,7.5,9.3,30,,217,,5,6
2,4,2,9.8,7,8.6,33,,200,,6,5
3,6,2,11.1,8.2,9.8,29,,229,,5,6
2,4,2,11.2,8.2,9.8,29,,229,,5,6
3,6,2,10.5,7.9,9.3,30,,218,,5,6
3,6,2,11.2,8.4,9.9,29,,3,,5,6
3,6,2,11,8,9.6,29,,225,,5,6
3,6,2,11,8.3,9.8,29,,229,,5,6
2,4,2,10.3,7.3,9,31,,210,,5,5
2,4,2,10.9,7.9,9.5,30,,224,,5,5
2,4,2,11.5,9.1,10.4,27,,242,,5,6
2,4,2,11.5,8.5,10.1,28,,237,,5,6
2,4,2,12.1,8.9,10.7,26,,250,,5,5
3,6,2,11.4,9.3,10.4,27,,244,,5,6
3,6,2,11.7,9.2,10.5,27,,247,,5,6
3,6,2,12.8,10,11.5,25,,269,,4,6
4,8,2,15.2,9.9,12.9,22,,301,,3,5
2,4,2,12.6,10.1,11.5,25,,267,,4,6
2,4,2,12.6,10.1,11.5,25,,267,,4,6
2,4,2,13.3,10.6,12.1,23,,282,,4,6
3,6,2,11.4,8,9.9,29,,231,,5,6
4,8,2,14.3,9.5,12.2,23,,285,,4,5
1.5,3,2,8.2,6.2,7.3,39,,170,,7,7
1.5,3,2,8.7,6.3,7.6,37,,177,,7,7
1.5,3,2,8.2,6.2,7.3,39,,170,,7,7
1.5,3,2,8.7,6.3,7.6,37,,177,,7,7
1.5,3,2,8.2,6.2,7.3,39,,170,,7,7
1.5,3,2,8.7,6.3,7.6,37,,177,,7,7
1.5,3,2,10.2,7.7,9.1,31,,211,,5,7
2,4,2,8.5,6.2,7.5,38,,174,,7,7
2,4,2,10.5,7.3,9.1,31,,211,,5,7
2,4,2,8.5,6.2,7.5,38,,174,,7,7
2,4,2,10.5,7.3,9.1,31,,211,,5,7
2,4,2,10.2,7.4,8.9,32,,207,,6,7
2,4,2,8.8,6.5,7.8,36,,182,,6,7
2,4,2,10.1,7.1,8.8,32,,205,,6,7
2,4,2,10.4,7.5,9.1,31,,212,,5,7
2,4,2,9.3,6.9,8.2,34,,191,,6,7
2,4,2,10.5,7.3,9.1,31,,211,,5,7
2,4,2,10.1,7.6,9,31,,210,,5,3
2,4,2,9.6,7.2,8.5,33,,198,,6,7
2,4,2,10.4,7.8,9.2,31,,210,,5,3
1.5,4,1,9.6,8.9,9.3,30,,216,,5,5
1.2,3,1,6.6,5.6,6.2,46,,143,,8,5
1.2,3,1,7.1,5.8,6.5,43,,151,,8,5
2.5,4,1,9.7,7.9,8.9,32,,208,,6,6
2,4,1,9.7,7.8,8.8,32,,206,,6,5
2,4,1,10.1,8.2,9.2,31,,213,,5,5
2.4,4,1,10.3,8.3,9.4,30,,218,,5,5
2.5,4,1,9.1,6.5,7.9,36,,186,,6,7
2.5,4,1,9.3,6.7,8.1,35,,190,,6,7
5.6,8,2,17.5,12.9,15.4,18,,362,,2,3
3.8,6,1,12.8,9.5,11.3,25,,266,,4,5
3.8,6,1,13.7,10.6,12.3,23,,288,,4,5
1.6,4,1,7.7,6.6,7.2,39,,169,,7,7
3.5,6,2,11.6,7.9,9.9,29,,3,,5,3
3.5,6,1,12,8.5,10.4,27,,245,,5,5
3.5,6,1,11.6,9.2,10.5,27,,246,,5,5
2,4,1,8.6,7.3,8,35,,188,,6,6
2,4,1,10,7.9,9.1,31,,213,,5,6
2,4,1,9,7.5,8.3,34,,196,,6,6
1.5,3,1,7.8,6.5,7.2,39,,169,,7,6
2.5,4,1,9,7.1,8.1,35,,190,,6,7
1.5,3,1,8.4,6.7,7.6,37,,179,,7,6
1.5,3,1,8.4,6.8,7.7,37,,181,,6,6
2.5,4,1,9.2,7.2,8.3,34,,195,,6,7
2,4,1,8,6,7.1,40,,167,,7,7
2,4,1,8.2,6.1,7.3,39,,171,,7,7
2,4,1,9.2,6.2,7.9,36,,185,,6,7
2,4,1,9.4,6.4,8.1,35,,189,,6,7
1.6,4,1,7.4,5.9,6.7,42,,158,,7,7
1.6,4,1,8.6,6.7,7.7,37,,181,,7,7
2,4,2,11,8.7,10,28,,3,,5,1
2,4,2,11.7,8.9,10.5,27,,245,,5,1
2,4,2,11.2,8.7,10.1,28,,236,,5,1
2,4,2,11.7,8.9,10.5,27,,245,,5,1
2.5,4,2,12.2,9.2,10.9,26,,255,,5,1
2.5,4,2,12.5,9.6,11.2,25,,263,,4,1
4,6,2,12.3,9.8,11.1,25,,260,,4,5
4,6,2,14,10,12.2,23,,284,,4,5
2,4,2,11,8.7,10,28,,3,,5,1
2,4,2,11.7,8.9,10.5,27,,245,,5,1
2,4,2,11.2,8.7,10.1,28,,236,,5,1
2,4,2,11.7,8.9,10.5,27,,245,,5,1
2.5,4,2,12.2,9.2,10.9,26,,255,,5,1
2.5,4,2,12.5,9.6,11.2,25,,263,,4,1
4,6,2,13,9.9,11.6,24,,271,,4,5
4,6,2,14,10.1,12.2,23,,286,,4,5
4,6,2,12.3,9.8,11.1,25,,260,,4,5
4,6,2,14,10,12.2,23,,284,,4,5
4,6,2,13,9.9,11.6,24,,271,,4,5
4,6,2,14,10.1,12.2,23,,286,,4,5
3,6,2,13.1,9.8,11.6,24,,275,,4,5
3,6,2,13.1,9.8,11.6,24,,275,,4,5
3,6,2,13.1,9.8,11.6,24,,275,,4,5
3,6,2,13.1,9.7,11.6,24,,275,,4,5
3,6,2,12.9,10.2,11.7,24,,274,,4,5
3,6,2,12.8,9.4,11.3,25,,264,,4,5
3,6,2,12.9,10.2,11.7,24,,273,,4,5
3,6,2,13.8,9.4,11.8,24,,275,,4,5
3,6,2,13,10.2,11.8,24,,275,,4,5
3,6,2,13.8,9.3,11.8,24,,275,,4,5
3,6,2,12.8,10.2,11.7,24,,273,,4,5
3,6,2,13.8,9.8,12,24,,281,,4,5
3,6,2,13.8,10.1,12.1,23,,289,,4,5
3,6,2,13.5,9.8,11.9,24,,276,,4,5
3,6,2,13.8,10.2,12.2,23,,289,,4,5
3,6,2,13.8,9.6,11.9,24,,278,,4,5
3,6,2,13.8,10.1,12.1,23,,288,,4,5
3,6,2,13.8,10.2,12.2,23,,289,,4,5
3,6,2,13.7,10.7,12.3,23,,288,,4,5
3,6,2,14.7,10.2,12.7,22,,296,,4,5
4,6,2,15.6,12.7,14.3,20,,334,,3,3
4,6,2,17,13.1,15.2,19,,355,,3,3
4,6,2,15.7,12.7,14.4,20,,335,,3,3
4,6,2,16.9,13.1,15.2,19,,354,,3,3
3,6,2,13.1,9.8,11.6,24,,275,,4,5
3,6,2,13.1,10.2,11.8,24,,274,,4,5
3,6,2,13.7,9.8,11.9,24,,278,,4,5
3,6,2,13.6,10.7,12.3,23,,287,,4,5
3,6,2,14.7,10.2,12.7,22,,296,,4,5
3.7,6,2,15.2,11.9,13.7,21,,321,,3,5
3.7,6,2,15.6,11.8,13.9,20,,324,,3,5
3.7,6,2,15.3,11.8,13.7,21,,321,,3,5
3.7,6,2,16,11.8,14.1,20,,328,,3,5
3,6,2,13.8,10.7,12.4,23,,289,,4,5
3,6,2,13.8,10.7,12.4,23,,289,,4,5
2.9,6,2,14.7,10.6,12.9,22,,307,,3,5
2.9,6,2,14.4,11.2,13,22,,305,,3,5
4,8,2,15.8,12.3,14.2,20,,331,,3,3
4,8,2,15.2,12.4,14,20,,326,,3,3
4,8,2,16.8,12.4,14.8,19,,343,,3,3
4,8,2,15.9,12,14.1,20,,330,,3,3
4,8,2,16.8,12.4,14.8,19,,345,,3,3
2,4,2,12.4,9.3,11,26,,263,,4,5
2.9,6,2,13.8,10.1,12.2,23,,289,,4,5
2.9,6,2,13.5,10.7,12.2,23,,290,,4,5
2.9,6,2,13.1,9.8,11.6,24,,274,,4,5
2.9,6,2,12.8,9.8,11.5,25,,274,,4,5
2.9,6,2,13.8,10.2,12.2,23,,289,,4,5
2.9,6,2,12.8,10.2,11.7,24,,274,,4,5
2.9,6,2,12.8,9.8,11.4,25,,276,,4,5
2.9,6,2,13.8,10.2,12.2,23,,292,,4,5
2.9,6,2,13.8,10.2,12.2,23,,292,,4,5
4,8,2,15.7,11.2,13.7,21,,323,,3,3
4,8,2,15.7,11.8,13.9,20,,323,,3,3
4,8,2,15.3,11.2,13.5,21,,326,,3,3
4,8,2,15.3,11.2,13.5,21,,326,,3,3
4,8,2,15.3,11.2,13.5,21,,326,,3,3
3,6,3,10.5,7.3,9,31,,243,,5,1
3,6,3,10.4,7.1,8.9,32,,238,,5,1
3.6,6,1,11.9,9.4,10.8,26,,253,,5,5
3.6,6,1,11.6,9,10.4,27,,245,,5,5
5.7,8,1,16.2,10.5,13.6,21,,320,,3,5
5.7,8,1,13,10,11.7,24,,275,,4,5
3,6,3,11.1,8,9.7,29,,260,,4,1
3.6,6,1,12.2,9.7,11.1,25,,260,,4,5
5.7,8,1,16.1,11,13.8,20,,325,,3,5
5.7,8,1,13.4,10.5,12.1,23,,284,,4,5
6.2,8,2,22.4,16.5,19.8,14,,465,,1,1
3.6,6,1,13.9,9.6,11.9,24,,280,,4,3
5.7,8,1,15.9,11.1,13.7,21,,323,,3,3
3.6,6,1,14.5,10.2,12.6,22,,295,,4,3
5.7,8,1,16.2,11.6,14.1,20,,330,,3,3
2.4,4,1,11.2,8.3,9.9,29,,232,,5,6
6.7,12,2,20.1,12.1,16.5,17,,386,,2,3
6.7,12,2,20.1,12.1,16.5,17,,386,,2,3
6.7,12,2,19.9,12.7,16.7,17,,387,,2,3
6.7,12,2,19.9,12.7,16.7,17,,387,,2,3
6.7,12,2,19.9,12.7,16.7,17,,387,,2,3
6.7,12,2,20,11.8,16.3,17,,382,,2,3
6.7,12,2,20,11.8,16.3,17,,382,,2,3
2.4,4,1,11.7,9,10.5,27,,245,,5,3
2.4,4,2,11,7.7,9.5,30,,224,,5,3
2.4,4,2,12,8.8,10.5,27,,247,,5,3
2,4,1,8.5,7,7.9,36,,184,,6,7
2,4,1,10.5,8.1,9.4,30,,220,,5,7
2.5,4,1,8.8,7,8,35,,188,,6,7
2.5,4,1,9,7.2,8.2,34,,192,,6,7
2.5,4,1,9.5,8.3,9,31,,210,,5,7
2,4,1,8.3,6.4,7.4,38,,174,,7,7
2,4,1,10.1,7.5,9,31,,209,,5,7
2,4,1,8.4,6.6,7.6,37,,178,,7,7
2,4,1,10.1,7.7,9,31,,211,,5,7
2.4,4,1,9.9,7.3,8.7,32,,205,,6,3
2.5,4,1,8.8,6.7,7.8,36,,184,,6,7
2.4,4,1,10.1,7.9,9.1,31,,213,,5,3
2.5,4,1,9,7.1,8.2,34,,192,,6,7
2.4,4,1,10.9,8.9,10,28,,235,,5,3
2.4,4,2,12.7,9.4,11.2,25,,262,,4,3
2.4,4,2,12.3,9,10.8,26,,254,,5,3
4,6,1,14.9,12.6,13.8,20,,323,,3,5
4,6,1,14.8,12.5,13.8,20,,321,,3,5
2,4,1,8.7,7.5,8.2,34,,189,,6,3
2.5,4,1,8.5,6.1,7.4,38,,174,,7,7
2.5,4,1,8.6,6.3,7.6,37,,178,,7,7
3.5,6,1,10.7,7.4,9.2,31,,215,,5,5
3.5,6,1,10.8,7.6,9.4,30,,220,,5,5
2.5,4,1,9.4,6.8,8.2,34,,192,,6,6
2.5,4,1,9.5,7,8.4,34,,195,,6,6
2.5,4,1,4.9,4.8,4.9,58,,113,,9,7
2.5,4,1,5.3,5,5.1,55,,121,,9,7
1.8,4,1,7.9,6.2,7.1,40,,166,,7,5
1.8,4,1,8.1,6.3,7.3,39,,170,,7,5
1.8,4,1,8,6,7.1,40,,165,,7,5
2,4,1,7.6,5.9,6.8,42,,159,,7,7
2,4,1,7.7,6.1,7,40,,164,,7,7
2,4,1,8.2,6.5,7.4,38,,172,,7,7
2,4,1,7.7,6.2,7,40,,164,,7,7
2,4,1,7.5,5.9,6.8,42,,159,,7,7
2,4,1,8.4,6.7,7.6,37,,179,,7,7
1.8,4,1,4.4,4.5,4.5,63,,106,,9,7
2,4,1,7.6,7,7.3,39,,171,,7,7
2,4,1,8.1,7.4,7.8,36,,182,,6,7
2.4,4,2,11.1,7.7,9.6,29,,224,,5,3
2.4,4,2,11.9,8.7,10.5,27,,246,,5,3
2,4,2,9.3,7.2,8.4,34,,195,,6,7
3,6,2,10.6,8,9.4,30,,218,,5,5
3.5,6,1,11.8,8.6,10.3,27,,241,,5,5
2.5,4,1,6.7,6.8,6.7,42,,158,,7,7
2.5,4,1,6.6,6.8,6.7,42,,156,,7,7
1.8,4,1,4.4,4.7,4.5,63,,106,,9,7
1.8,4,1,4.6,5,4.8,59,,111,,9,7
2.5,4,1,8.8,6.8,7.9,36,,184,,6,7
2.5,4,1,8.5,6.8,7.7,37,,180,,7,7
2.5,4,1,9.5,7.1,8.4,34,,198,,6,6
2.5,4,1,8.8,7.1,8,35,,187,,6,6
2.5,4,1,8.7,6.9,7.9,36,,184,,6,6
2.5,4,1,9.5,7.4,8.5,33,,200,,6,6
2.5,4,1,5.8,6.3,6,47,,140,,8,7
5.7,8,1,18.5,13.9,16.4,17,,385,,2,5
2.5,4,1,6.6,6.5,6.6,43,,154,,7,7
2.5,4,1,6.8,6.6,6.7,42,,158,,7,7
3.5,6,1,13,10.5,11.8,24,,278,,4,5
3.5,6,1,13.8,11.4,12.7,22,,299,,3,5
3.5,6,1,13.8,11.7,12.9,22,,300,,3,5
3.4,6,1,13.1,10.1,11.8,24,,277,,4,5
3.4,6,1,13.6,10.4,12.2,23,,285,,4,5
3.4,6,1,13.5,10.6,12.2,23,,286,,4,5
3.4,6,1,12.7,10.5,11.7,24,,274,,4,5
3.4,6,1,12.5,11.2,11.9,24,,277,,4,5
2.5,4,1,5.9,6.4,6.1,46,,142,,8,7
2,4,1,11.5,9.5,10.6,27,,249,,5,3
3.6,6,1,13.8,10.2,12.2,23,,286,,4,5
2,4,1,11.6,9.7,10.7,26,,252,,5,3
3.6,6,1,13.1,10,11.7,24,,275,,4,5
2,4,1,9.3,7,8.3,34,,194,,6,5
2,4,1,9.8,6.9,8.5,33,,198,,6,5
2,4,2,10.3,7.7,9.1,31,,213,,5,5
2,4,2,11.8,8.3,10.2,28,,237,,5,5
1.5,4,1,7.7,5.7,6.8,42,,159,,7,7
1.5,4,1,8.1,5.8,7.1,40,,167,,7,7
1.5,4,1,8,5.5,6.9,41,,161,,7,7
2,4,1,9,6.5,7.9,36,,185,,6,7
2,4,1,9.1,6.4,7.9,36,,186,,6,7
2,4,1,9.7,6.6,8.3,34,,196,,6,7
1.5,4,1,8.4,6.6,7.6,37,,178,,7,7
1.5,4,1,9.5,7.4,8.5,33,,200,,6,7
2,4,1,10.6,8,9.4,30,,222,,5,7
2,4,1,11,8.3,9.8,29,,229,,5,7
2,4,2,9,6.7,8,35,,186,,6,5
2,4,2,9.4,6.9,8.3,34,,193,,6,5
2,4,2,10.4,7.5,9.1,31,,212,,5,7
2,4,2,11.3,7.5,9.6,29,,224,,5,7
2,4,2,10.9,7.7,9.5,30,,221,,5,5
2,4,2,10.6,8.1,9.5,30,,222,,5,7
2,4,1,10.7,7.6,9.3,30,,217,,5,5
2,4,2,10.7,7.7,9.4,30,,219,,5,5
2,4,2,10.5,8.1,9.4,30,,219,,5,5
2,4,2,11,8.7,9.9,29,,232,,5,7
2,4,2,11.5,8.4,10.1,28,,236,,5,5
2,4,2,12.4,8.9,10.8,26,,252,,5,7
